Country	Rating	Date	Version	Username	Title	Content
US	3	2023-02-27	7.2.0	SleepySeas	Not bad, but not great	"Admittedly, this is one of the few games I’ve downloaded recently that I’ve felt like playing for more than a couple of hours. I haven’t felt the need to buy anything yet, and I’ve never seen any scummy or gross ads for the game yet. However, there are a few problems I have with it that I think should really be brought up:
1. Too many icons/popups. The UI just feels unnecessarily cluttered. I’m playing on a tablet, and it still feels like the buttons take up a frustrating amount of space. I’d personally make all the icons next to the main shop one button that opens up a menu, decrease the space the limited-time event icons on the top left take up, and find something to combine the social, storage, and dragonpedia (is that the name of the book icon? I don’t even use it) with. Also, give the option to disable popups like “you have a new dragon type!” or “you can build a new farm!” and the many event notifications, at least for a day. They kind of get on my nerves, especially when I can’t even hatch the new dragon or build the new structure it’s telling me about.
2. Too many ads. It wasn’t so bad at first, but I feel like you get random ads all the time, even if you just accidentally click on a menu and need to get out. Just lower the amount of random ads, and make it possible to watch ads to at least half every task’s time instead of it being random for you to even get the option.
3. Too little space at first. With level ups coming fairly quickly, and the game nudging you towards breeding as many dragons as you can, there’s not enough space for everything you’re expected to build. Even after unlocking a second island, it just feels cramped. Unfortunately, unlike the other two, I don’t really think there’s an easy way to fix this."
US	5	2023-02-27	7.2.0	Mишa333	Why	I can’t give a 6 star
US	2	2023-02-27		Momnewbie	Fun if you don’t mind a million ads for every part of the game	My kids play this on their fire tablets - it’s great. I put it on my phone and it’s laden with ads and everything seems to “cost real money”
US	2	2023-02-25	7.2.0	idk7363	overpriced	idk
US	5	2023-02-24	7.2.0	smoochypoo	Great game	DML is amazing, there is always something to do and one of the games that is always fun to play, ALTHOUGH, prices are a little bit higher for basic things like 90k to remove tree plus like a 1hr wait? Not a big fan of that but overall 10/10
US	1	2023-02-21	7.2.0	Loganothechamp	Not as good as original	This is way to animated compared to the original dragon mania. The old one was absolutely fantastic, I’m deeply saddened to see that it’s not on any AppStore anymore. There’s to many dragons now with to many types. Please relaunch the old game :(
US	3	2023-02-20	7.2.0	SleepySeas	Like Dragon City, but less interesting	"I remember playing Dragon City when I was a kid, so when I heard that there was another game like it I was pretty interested. And maybe it’s the nostalgia talking, but this just… doesn’t feel right. There’s so many things asking for your money, and so much being thrown at you at once. The UI is so cluttered, with all the stores and event content. Not to mention the starting space is so cramped with how much they want you to build. I just couldn’t get into it.

EDIT: I actually went to play the other game I mentioned again, to see if it was actually better or I was just nostalgic, and no. It’s not better. They’re both mid, but there’s still something so disappointing about this game in particular."
US	5	2023-02-20	7.2.0	Angelmare	Cool game	So, I really like the game because it very creative and magical.super cool check it out .
US	5	2023-02-15	7.2.0	CoD Fan47	Great graphics, fun game	How do you destroy a game in one update?? Release a game without testing it. I hope it is fixed. This has been my go to game the last couple of years. It is the same old story with all the other games I play…I get a Bigger, better dragon, but the bad guys get a even bigger and even meaner dragon. That how it all goes. Great art work and great dragons. Most of the events are fun to play, best if you are in a clan.
US	1	2023-02-15	7.2.0	Acts 2:38 KJV	Disgusting Ads	Too many ads. Ads are too long. Keep your woke agenda out of the ads, there are kids playing this game. Now I’m deleting it!!!!
